StationCode,AnalyteName,UnitName,Result,SampleDate
521BUT204,Aluminum,ug/L,55.4,01/09/2019
521BUT205,Aluminum,ug/L,498,01/09/2019
521BUT204,Aluminum,ug/L,608,01/09/2019
520BUT208,Aluminum,ug/L,1580,01/09/2019
521BUT204,Chromium,ug/L,3.09,01/09/2019
521BUT206,Chromium,ug/L,2.33,01/09/2019
521BUT204,Chromium,ug/L,3.11,01/09/2019
521BUT205,Chromium,ug/L,477,01/09/2019
309MER,Bifenthrin,ug/L,0.0456,01/09/2019
521BUT205,Aluminum,ug/L,289,01/09/2019
518BUT210,Aluminum,ug/L,231,01/09/2019
521BUT202,Acenaphthene,ug/L,0.005,01/09/2019
309JON,Bifenthrin,ug/L,0.0265,01/09/2019
521BUT204,Aluminum,ug/L,55.4,01/09/2019
520BUT207,Aluminum,ug/L,1640,01/09/2019
520BUT208,Acenaphthene,ug/L,0.005,01/09/2019
520BUT208,Chromium,ug/L,4.42,01/09/2019
521BUT205,Chromium,ug/L,1.24,01/09/2019
309MER,Bifenthrin,ug/L,0.0509,01/09/2019
521BUT205,Chromium,ug/L,480,01/09/2019
309OLD,Bifenthrin,ug/L,0.00454,01/09/2019
521BUT206,Aluminum,ug/L,715,01/09/2019
520XLSNKR,Bifenthrin,ug/L,0.0021,01/09/2019
520BUT208,Aluminum,ug/L,2530,01/09/2019
518BUT210,Chromium,ug/L,1.13,01/09/2019
521BUT205,Aluminum,ug/L,368,01/09/2019
521BUT206,Aluminum,ug/L,725,01/09/2019
309ALG,Bifenthrin,ug/L,0.0225,01/09/2019
521BUT205,Acenaphthene,ug/L,0.004,01/09/2019
520BUT207,Aluminum,ug/L,869,01/09/2019
521BUT209,Aluminum,ug/L,293,01/09/2019
309ALD,Bifenthrin,ug/L,0.0359,01/09/2019
521BUT205,Chromium,ug/L,429,01/09/2019
309MER,Bifenthrin,ug/L,1.27,01/09/2019
521BUT209,Aluminum,ug/L,2120,01/09/2019
520BUT207,Chromium,ug/L,5.16,01/09/2019
521BUT205,Chromium,ug/L,435,01/09/2019
723STLD4A,Aluminum,ug/L,2.71,01/09/2020
723ARGRB1,Aluminum,ug/L,12.7,01/09/2020
723ARGRB1,Aluminum,ug/L,13.1,01/09/2020
723ARGRB1,Chromium,ug/L,0.17,01/09/2020
723ARGRB1,Chromium,ug/L,0.17,01/09/2020
541XPSAIA,Aldrin,ug/L,0.212,01/10/2012
541XPSAIA,Aldrin,ug/L,0.22,01/10/2012
Freeport,Chromium,ug/L,6.5,01/10/2013
Freeport,Aluminum,ug/L,900,01/10/2013
Freeport,Aldrin,ug/L,0.0034,01/10/2013
ASBS-REF_MartinCreek,Chromium,ug/L,5.8704,01/10/2014
ASBS-REF_MartinCreek,Chromium,ug/L,5.524,01/10/2014
ASBS-TRI000_ORW,Chromium,ug/L,2.864,01/10/2014
ASBS-TRI000_ORW,Chromium,ug/L,2.8852,01/10/2014
13TH_GST_SWCORNER_UC,Chromium,ug/L,11,01/10/2017
13TH_GST_SWCORNER_UC,Chromium,ug/L,11,01/10/2017
541MER531,Aldrin,ug/L,0.228,01/10/2017
1-323,Chromium,ug/L,6.75,01/10/2017
541MER531,Aldrin,ug/L,0.236,01/10/2017
IB-RW-13,Chromium,ug/L,0.353,01/10/2018
ME-CC,Acenaphthene,ug/L,0.1,01/10/2018
IB-RW-12,Chromium,ug/L,0.662,01/10/2018
SP-RW-19,Chromium,ug/L,0.701,01/10/2018
SP-RW-18,Chromium,ug/L,0.716,01/10/2018
SP-RW-18,Chromium,ug/L,0.734,01/10/2018
CM-RW-10,Chromium,ug/L,0.496,01/10/2018
SP-RW-19,Chromium,ug/L,0.704,01/10/2018
IA-RW-06,Chromium,ug/L,0.561,01/10/2018
CB-RW-11,Chromium,ug/L,0.561,01/10/2018
CS-RW-01,Chromium,ug/L,1.27,01/10/2018
IA-RW-02,Chromium,ug/L,0.985,01/10/2018
